
2024/ 5/21, 13:48:35 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/21, 14:49:13 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
90	0	21.000000	15.750000	11111100100001111000
91	0	21.000000	7.875000	11111100100001111000
92	0	21.000000	15.750000	11111100100001111000
93	0	21.000000	18.375000	11111100100001111000
94	0	21.000000	15.750000	11111100100001111000
95	0	21.000000	15.750000	11111100100001111000
96	0	21.000000	15.750000	11111100100001111000
97	0	21.000000	18.375000	11111100100001111000
98	0	21.000000	21.000000	11111100100001111000
99	0	21.000000	15.750000	11111100100001111000

2024/ 5/22, 19:12:18 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	

2024/ 5/22, 19:12:56 
Generation	Indiv No.	Fitness(Best)	Fitness(Ave.)	Genotype	
0	0	21.000000	18.375000	11000100101111110001
1	0	21.000000	15.750000	11000100101111110001
2	0	21.000000	10.500000	11000100101111110001
3	0	21.000000	18.375000	11000100101111110001
4	0	21.000000	10.500000	11000100101111110001
5	0	21.000000	18.375000	11000100101111110001
6	0	21.000000	15.750000	11000100101111110001
7	0	21.000000	13.125000	11000100101111110001
8	0	21.000000	18.375000	11000100101111110001
9	0	21.000000	15.750000	11000100101111110001
10	0	21.000000	18.375000	11000100101111110001
11	0	21.000000	13.125000	11000100101111110001
12	0	21.000000	13.125000	11000100101111110001
13	0	21.000000	13.125000	11000100101111110001
14	0	21.000000	18.375000	11000100101111110001
15	0	21.000000	13.125000	11000100101111110001
16	0	21.000000	13.125000	11000100101111110001
17	0	21.000000	10.500000	11000100101111110001
18	0	21.000000	15.750000	11000100101111110001
19	0	21.000000	15.750000	11000100101111110001
20	0	21.000000	13.125000	11000100101111110001
21	0	21.000000	15.750000	11000100101111110001
22	0	21.000000	15.750000	11000100101111110001
23	0	21.000000	15.750000	11000100101111110001
24	0	21.000000	18.375000	11000100101111110001
25	0	21.000000	15.750000	11000100101111110001
26	0	21.000000	15.750000	11000100101111110001
